name1,name2,is_match,name1_clean,name2_clean,cosine_sim,sbert_sim,jaro_sim,metaphone_match,Levenshtein,jaccard,token_set_ratio,complete_overlap,similar_gender,is_abbreviation,predicted_match,match_probability
Yashawini Sachar,Sachar Yashawini,1,yash awini sachar,sachar yash awini,1.0000000000000002,0.9805651,0.788235294117647,0,14,1.0,1.0,0,1,1,1,0.9660763
Yashawini Sachar,YashawiniSachar,1,yash awini sachar,yashawi nisachar,0.6234876469098095,0.5332252,0.9632352941176471,0,3,0.0,0.79,0,0,0,1,0.8326666
Bhavya Toor,Bhahya Toor,1,bhavya toor,bhahya toor,0.6316938525642021,0.73644966,0.9575757575757576,0,1,0.3333333333333333,0.91,0,1,1,1,0.5381658
Bhavya Toor,BhavyaToor,1,bhavya toor,bhavy atoor,0.6303966677734576,0.67810124,0.9818181818181818,0,2,0.0,0.45,0,0,0,1,0.97784674
Isaac Varghese,Varghese Isaac,1,isaac varg hese,varg hese isaac,1.0,0.9346222,0.7277777777777779,0,12,1.0,1.0,0,1,1,1,0.9502381
Isaac Varghese,Isaac Varghdse,1,isaac varg hese,isaac varg hdse,0.729400724052406,0.8614389,0.959047619047619,0,1,0.5,0.93,0,1,1,1,0.7881727
Isaac Varghese,IsaacVarghese,1,isaac varg hese,isaacv arghese,0.6202281838787003,0.5749303,0.9723809523809525,0,3,0.0,0.76,0,1,0,1,0.8736669
Divya Pillay,Pillay Divya,1,divya pillay,pillay divya,1.0000000000000002,0.9797636,0.6527777777777778,0,8,1.0,1.0,0,1,1,1,0.9487327
Divya Pillay,Divya Pilnay,1,divya pillay,divya pilnay,0.6656504307621336,0.80508244,0.9666666666666666,0,1,0.3333333333333333,0.92,0,1,1,1,0.7546183
Divya Pillay,DivyaPillay,1,divya pillay,divya pillay,1.0000000000000002,1.0,1.0,1,0,1.0,1.0,1,1,1,1,0.9952787
Lakshmi Nagarajan,Nagarajan Lakshmi,1,lak shmi naga rajan,naga rajan lak shmi,1.0000000000000002,0.9861887,0.5750487329434698,0,16,1.0,1.0,0,1,1,1,0.97519433
Lakshmi Nagarajan,LakshmiNagarajan,1,lak shmi naga rajan,lakshmin agarajan,0.48769652236728883,0.4241594,0.9342621259029928,0,4,0.0,0.72,0,0,0,1,0.5951228
Falan Dalal,Dalal Falan,1,falan dalal,dalal falan,1.0000000000000004,0.98919535,0.7348484848484849,0,4,1.0,1.0,0,1,1,1,0.76106614
Falan Dalal,FalanDalal,1,falan dalal,falan dalal,1.0000000000000004,1.0000002,1.0,1,0,1.0,1.0,1,1,1,1,0.9952787
Wakeeta Sibal,Sibal Wakeeta,1,wak eeta sibal,sibal wak eeta,1.0,0.96724945,0.6761904761904761,0,12,1.0,1.0,0,1,1,1,0.96645975
Wakeeta Sibal,WakeetaSibal,1,wak eeta sibal,wakeet asibal,0.5453037718080256,0.2247477,0.9653846153846154,0,3,0.0,0.74,0,0,0,1,0.8875811
Dakshesh Yogi,Dakohesh Yogi,1,daks hesh yogi,dako hesh yogi,0.7371140195402509,0.87682456,0.9307692307692308,0,1,0.5,0.93,0,1,1,1,0.5338691
Dakshesh Yogi,DaksheshYogi,1,daks hesh yogi,dakshe shyogi,0.6162709093876453,0.4451853,0.9703296703296703,0,3,0.0,0.89,0,0,0,1,0.87375665
Tarak Ganesh,TarakGanesh,1,tarak ganesh,tarak ganesh,1.0,1.0,1.0,1,0,1.0,1.0,1,1,1,1,0.9952787
Hitesh Tank,Tank Hitesh,1,hitesh tank,tank hitesh,1.0000000000000002,0.9791275,0.49242424242424243,0,9,1.0,1.0,0,1,1,1,0.9529856
Hitesh Tank,HiteshTank,1,hitesh tank,hites htank,0.7115283371651298,0.47820386,0.9818181818181818,0,2,0.0,0.91,0,1,0,1,0.8696442
Jeet Raja,JeetRaja,1,jeet raja,jeet raja,1.0,1.0,1.0,1,0,1.0,1.0,1,1,1,1,0.9952787
Anita Banerjee,Acita Banerjee,1,anita bane rjee,acita bane rjee,0.7630168081818459,0.7360287,0.9600000000000001,0,1,0.5,0.93,0,1,1,1,0.7392487
Anita Banerjee,AnitaBanerjee,1,anita bane rjee,anitab anerjee,0.5534332856594485,0.6816865,0.9723809523809525,0,3,0.0,0.48,0,0,1,1,0.9782672
Ikbal Bir,IkbalBir,1,ikbal bir,ikba lbir,0.7273781106850611,0.6162525,0.9777777777777777,0,2,0.0,0.56,0,0,0,1,0.95940155
Indali Chadha,Indali Chidha,1,indali chadha,indali chidha,0.650882079147315,0.6960722,0.9525641025641025,1,1,0.3333333333333333,0.92,0,1,1,1,0.9443245
Indali Chadha,IndaliChadha,1,indali chadha,indali chadha,0.9999999999999999,1.0000001,1.0,1,0,1.0,1.0,1,1,1,1,0.9952787
Ladli Sundaram,Sundaram Ladli,1,ladli sund aram,sund aram ladli,1.0,0.98581517,0.7277777777777779,0,12,1.0,1.0,0,1,1,1,0.96240604
Ladli Sundaram,Ladli Sundaoam,1,ladli sund aram,ladli sund aoam,0.7908414697466634,0.8971256,0.9733333333333334,0,1,0.5,0.93,0,1,1,1,0.8792931
Ladli Sundaram,LadliSundaram,1,ladli sund aram,ladlis undaram,0.610545194779623,0.68158126,0.9723809523809525,0,3,0.0,0.62,0,0,0,1,0.97078234
Harrison Rai,Rai Harrison,1,harr ison rai,rai harr ison,1.0000000000000002,0.9646382,0.80982905982906,0,8,1.0,1.0,0,1,1,1,0.91908246
Harrison Rai,Harriscn Rai,1,harr ison rai,harr iscn rai,0.742426184777763,0.7767365,0.9692307692307692,0,1,0.5,0.92,0,1,1,1,0.75146997
Harrison Rai,HarrisonRai,1,harr ison rai,harri sonrai,0.4290919698463114,0.3239717,0.967948717948718,0,3,0.0,0.88,0,0,0,1,0.59448713
Bhavika Andra,Bhavika Antra,1,bha vika andra,bha vika antra,0.6283084800405859,0.8621401,0.9714285714285714,1,1,0.5,0.93,0,1,1,1,0.98092747
Pavani Bera,Pavani Bega,1,pavani bera,pavani bega,0.6054090899055306,0.7466484,0.9636363636363636,0,1,0.3333333333333333,0.91,0,1,1,1,0.7095277
Pavani Bera,PavaniBera,1,pavani bera,pavan ibera,0.6732909401347308,0.6379503,0.9818181818181818,0,2,0.0,0.91,0,0,0,1,0.880062
Vivaan Barad,Barad Vivaan,1,vivaan barad,barad vivaan,1.0000000000000002,0.9904458,0.6111111111111112,0,10,1.0,1.0,0,1,1,1,0.9556395
Vivaan Barad,vivaan Barad,1,vivaan barad,vivaan barad,1.0000000000000002,1.0,1.0,1,0,1.0,1.0,1,1,1,1,0.9952787
Vivaan Barad,VivaanBarad,1,vivaan barad,vivaa nbarad,0.6586952608271444,0.581864,0.9833333333333333,0,2,0.0,0.92,0,0,0,1,0.8722801
Zayan Munshi,Munshi Zayan,1,zayan munshi,munshi zayan,1.0000000000000002,0.98772985,0.47222222222222215,0,12,1.0,1.0,0,1,1,1,0.9720585
Zayan Munshi,Zayac Munshi,1,zayan munshi,zayac munshi,0.8068517780834438,0.88667536,0.9303030303030303,0,1,0.3333333333333333,0.92,0,1,1,1,0.63021576
Zayan Munshi,ZayanMunshi,1,zayan munshi,zayan munshi,1.0000000000000002,1.0000001,1.0,1,0,1.0,1.0,1,1,1,1,0.9952787
Zayan Munshi,Z4y4n Mun5h1,1,zayan munshi,zyn munh,0.2796593633907158,0.56535476,0.8999999999999999,0,4,0.0,0.8,0,0,1,1,0.51713127
Barkha Bir,Bir Barkha,1,barkha bir,bir barkha,1.0,0.9860372,0.8066666666666666,0,7,1.0,1.0,0,1,1,1,0.91966796
Tanish Golla,TanishGolla,1,tanish golla,tanis hgolla,0.8127306986400253,0.5847484,0.9833333333333333,0,2,0.0,0.92,0,0,0,1,0.8882679
Frado Chaudhary,Frldo Chaudhary,1,frado chau dhary,frldo chau dhary,0.8176842200856662,0.8655516,0.8777777777777778,0,1,0.5,0.94,0,1,1,1,0.58946306
Frado Chaudhary,FradoChaudhary,1,frado chau dhary,fradoch audhary,0.5664946045119899,0.5503651,0.9741666666666667,0,3,0.0,0.84,0,1,0,1,0.85560864
Harrison Radhakrishnan,Harrisvn Radhakrishnan,1,harr ison radhak rishnan,harr isvn radhak rishnan,0.8344013338708065,0.8714622,0.9833333333333334,0,1,0.6,0.96,0,1,1,1,0.8964504
Harrison Radhakrishnan,HarrisonRadhakrishnan,1,harr ison radhak rishnan,harrisonra dhakrishnan,0.5527167567241176,0.39178133,0.956060606060606,0,4,0.0,0.61,0,0,0,1,0.8397807
Nitesh Sani,Nttesh Sani,1,nitesh sani,nttesh sani,0.6342455558575721,0.7683284,0.9454545454545455,1,1,0.3333333333333333,0.91,0,1,1,1,0.94939077
Nitesh Sani,NiteshSani,1,nitesh sani,nites hsani,0.6690107069041025,0.5143502,0.9818181818181818,0,2,0.0,0.45,0,0,0,1,0.96052194
Yug Chana,Chana Yug,1,yug chana,chana yug,1.0,0.9465702,0.3148148148148148,0,8,1.0,1.0,0,1,1,1,0.9201593
Yug Chana,YugChana,1,yug chana,yugc hana,0.6715462177023888,0.4815337,0.9740740740740741,0,2,0.0,0.89,0,0,0,1,0.9281931
Yug Chana,Yug Ch4n4,1,yug chana,yug chn,0.6141193890641324,0.4717519,0.9555555555555556,1,2,0.3333333333333333,0.88,0,1,1,1,0.5215542
Michael Johal,Michaei Johal,1,mic hael johal,mic haei johal,0.8020081593138304,0.93995476,0.9252747252747253,0,1,0.5,0.93,0,1,1,1,0.74822986
Pratyush Wali,Wali Pratyush,1,prat yush wali,wali prat yush,1.0,0.98507655,0.7056277056277057,0,10,1.0,1.0,0,1,1,1,0.95731527
Pratyush Wali,Pratyush Wkli,1,prat yush wali,prat yush wkli,0.7823849148469664,0.7401037,0.9714285714285714,0,1,0.5,0.93,0,1,1,1,0.8088999
Pratyush Wali,PratyushWali,1,prat yush wali,pratyu shwali,0.455790249749025,0.5992021,0.9703296703296703,0,3,0.0,0.67,0,0,0,1,0.9109911
Maanav Anne,Anne Maanav,1,maanav anne,anne maanav,1.0000000000000002,0.9541577,0.6623376623376623,0,8,1.0,1.0,0,1,1,1,0.9416387
