name1,name2,is_match,cosine_sim,sbert_sim,jaro_sim,levenshtein,first_letter_match,len_diff,soundex_match,metaphone_match,token_set_ratio,lcs,jaccard,ngram_overlap,predicted_match
subodh kumar surgeon doctor in delhi,subodh garg,0,0.40678452,0.36635333,0.695622896,26,1,25,1,0,0.71,7,0.142857143,0.135135135,0
juned shaikh,zarine sheikh,0,0.160257956,0.45270786,0.760683761,6,0,1,0,0,0.4,3,0,0.105263158,0
purnendu roy,r n roy,0,0.534068385,0.5717155,0.785714286,6,0,5,0,0,0.6,4,0.25,0.153846154,0
prantik chowdhury,prantik jana,0,0.541376791,0.62473154,0.82745098,9,1,5,1,0,0.74,8,0.333333333,0.315789474,0
bikash chandra ghosh general surgeon,b c ghosh,1,0.376747493,0.55026615,0.638888889,27,1,27,1,0,0.71,6,0.142857143,0.111111111,0
shankar rao,manikanteswara rao,0,0.353235629,0.6480788,0.698653199,10,0,7,0,0,0.62,4,0.333333333,0.086956522,0
arun bhardwaj,arun pathak,0,0.345960693,0.7510563,0.843531469,6,1,2,1,0,0.58,5,0.333333333,0.176470588,0
p thrivikrama rao,manikanteswara rao,0,0.237168544,0.6490056,0.61459695,12,0,1,0,0,0.46,5,0.25,0.107142857,0
rajiv prakash manek,manikarn k,0,0.089096945,0.4500001,0.471929825,13,0,9,0,0,0.41,3,0,0.041666667,0
sanjeev vashistha,r k vashishtha,0,0.376491397,0.6651515,0.634173669,8,0,3,0,0,0.65,7,0,0.285714286,0
manmohan kamat,manikarn k,0,0.113993989,0.44553638,0.638095238,8,1,4,0,0,0.58,3,0,0.111111111,0
nandlal thesia,j r thesia,0,0.686368489,0.6078491,0.59047619,7,0,4,0,0,0.75,7,0.25,0.333333333,0
mandip s bhangoo surgeon doctor in ludhiana,mandeep singh bangoo,0,0.316208851,0.42250234,0.825740514,31,1,23,1,0,0.48,5,0,0.113207547,0
jameel akhter,k m jammeel,0,0.427530823,0.6183655,0.582084582,10,0,2,0,0,0.5,4,0,0.176470588,0
m r rao,manikanteswara rao,0,0.444969787,0.6688459,0.420634921,12,1,11,0,0,0.6,4,0.25,0.105263158,0
g ravi kiran cardiologist,ravindar g,0,0.179562428,0.42896077,0.633333333,17,0,15,0,0,0.34,4,0.2,0.068965517,0
adhikari vandana,pravin adhikari,0,0.59976104,0.7120739,0.711111111,14,0,1,0,0,0.71,8,0.333333333,0.285714286,0
d k garg,d k dang,0,0.21075024,0.49675748,0.866666667,2,1,0,0,0,0.75,4,0.5,0.2,0
g lakshmi narayana general surgeon,laxminarayana nayak,0,0.286751396,0.32018742,0.645897833,19,0,15,0,0,0.53,9,0,0.2,0
deepa p jahagirdar,d p jahangirdar,1,0.630111335,0.55363005,0.806190476,5,1,3,0,0,0.85,7,0.2,0.45,1
jahagirdar deepa parshuram miss,d p jahangirdar,1,0.469596988,0.4925068,0.652124936,25,0,16,0,0,0.61,6,0,0.166666667,0
jayesh s panchiwala,jatyesh panchivala,1,0.488358658,0.6310828,0.928265107,4,1,1,0,0,0.86,7,0,0.375,1
rhitarashmi nath general surgeon,n c nath,0,0.23590603,0.22748587,0.555059524,27,0,24,0,0,0.67,5,0.166666667,0.090909091,0
jahagirdar prakash laxmanrao,d p jahangirdar,0,0.456138196,0.58568203,0.603968254,21,0,13,0,0,0.56,6,0,0.181818182,0
panchiwala jigar jayeshkumar,jatyesh panchivala,0,0.369011333,0.5858484,0.574989825,24,0,10,0,0,0.7,6,0,0.2,0
pramatha nath datta,n c nath,0,0.440349921,0.39721978,0.496052632,14,0,11,0,0,0.67,5,0.2,0.157894737,0
tvs ram prasad surgical gastroenterologist,t v s ramprasad,1,0.196713072,0.12957995,0.652380952,31,1,27,1,0,0.42,6,0,0.152173913,0
deven a shah,deven gandhi,0,0.617441235,0.5783647,0.866666667,5,1,0,1,0,0.67,6,0.25,0.25,0
shandip kumar sinha,sandeep sinha,0,0.481862061,0.573405,0.745712183,9,1,6,1,0,0.69,6,0.25,0.217391304,0
t v s ram prasad,t v s ramprasad,0,0.676080181,0.4696759,0.9875,1,1,1,1,0,0.77,9,0.5,0.6875,0
bhat k g,lakshminarayana bhat,0,0.362890466,0.39407742,0.483333333,17,0,12,0,0,0.67,4,0.25,0.090909091,0
mithilesh kumar,methilesh nagar,0,0.471973021,0.42285138,0.812727273,4,1,0,1,0,0.53,8,0,0.3,0
ashish pitale,saharsh,0,0.039874948,0.30162913,0.632967033,11,0,6,0,0,0.4,2,0,0,0
d rai,mridul rai,0,0.468931055,0.59923834,0.522222222,5,0,5,0,0,0.75,4,0.333333333,0.222222222,0
md mohsin hashmi,m hashmi,1,0.581262233,0.64983773,0.675595238,8,1,8,0,0,0.86,7,0.25,0.333333333,0
ashok kumar malviya,a k kariwal,0,0.04623157,0.43154663,0.652844232,11,1,8,0,0,0.53,3,0,0.04,0
prasad jeedigunta,b v prasad,0,0.376081985,0.5884013,0.561064426,15,0,7,0,0,0.75,6,0.25,0.210526316,0
b karunakar reddy,k karunaker,0,0.523000333,0.70912564,0.665775401,8,0,6,0,0,0.64,8,0,0.352941176,0
