name1,name2,is_match
subodh kumar surgeon doctor in delhi,subodh garg,0
juned shaikh,zarine sheikh,0
purnendu roy,r n roy,0
prantik chowdhury,prantik jana,0
bikash chandra ghosh general surgeon,b c ghosh,1
shankar rao,manikanteswara rao,0
arun bhardwaj,arun pathak,0
p thrivikrama rao,manikanteswara rao,0
rajiv prakash manek,manikarn k,0
sanjeev vashistha,r k vashishtha,0
manmohan kamat,manikarn k,0
nandlal thesia,j r thesia,0
mandip s bhangoo surgeon doctor in ludhiana,mandeep singh bangoo,0
jameel akhter,k m jammeel,0
m r rao,manikanteswara rao,0
g ravi kiran cardiologist,ravindar g,0
adhikari vandana,pravin adhikari,0
d k garg,d k dang,0
g lakshmi narayana general surgeon,laxminarayana nayak,0
deepa p jahagirdar,d p jahangirdar,1
jahagirdar deepa parshuram miss,d p jahangirdar,1
jayesh s panchiwala,jatyesh panchivala,1
rhitarashmi nath general surgeon,n c nath,0
jahagirdar prakash laxmanrao,d p jahangirdar,0
panchiwala jigar jayeshkumar,jatyesh panchivala,0
pramatha nath datta,n c nath,0
tvs ram prasad surgical gastroenterologist,t v s ramprasad,1
deven a shah,deven gandhi,0
shandip kumar sinha,sandeep sinha,0
t v s ram prasad,t v s ramprasad,0
bhat k g,lakshminarayana bhat,0
mithilesh kumar,methilesh nagar,0
ashish pitale,saharsh,0
d rai,mridul rai,0
md mohsin hashmi,m hashmi,1
ashok kumar malviya,a k kariwal,0
prasad jeedigunta,b v prasad,0
b karunakar reddy,k karunaker,0
udbhav bansal,buddh ram,0
manazir hasnain,manowar ahasan,0
srijan shukla surgical oncologist,bhubaneswar sukla,0
avijit mondal,abhijit roy mondal,0
g dsharma,g d sharma,1
v k rajoria,v k ramteke,0
ramya arul,c arul,0
venu bhargava mulpuri surgical gastroenterologist,m venu bhargava,0
gupta k,sanjay gupta,0
pavan kumar sachan,jitendra sachan,0
u shirisha,arish,0
hareesh reddy kaserla general surgeon,arish,0
nikhil narain,nikhil khantal,0
rishikesh kumar,rushikesh x,0
vinit kumar srivastava,s srivastava,0
roop kumar gurshani,r gurumukhi,0
nawal yadav,t n yadav,0
raju murudkar,r gurumukhi,0
d n yadav,t n yadav,0
rinal modi,narendra modi,0
dheren mondal,dheerain mandal,0
mohan,ve manohar,0
ranendra chaudhry,nasrun chowdhury,0
nikhil yadav,nikhil khantal,0
bipin chandra pal urologist,c pal,0
anubha jain,anubha soni,0
sujith kannan,a sujith,0
rajshree murudkar,r gurumukhi,0
ashok kumar malviya,a k malviya,0
surjith kamath,a sujith,0
pushparaj s karmarkar,t s pushpa raj,0
pramatha nath datta,p n dutta,1
pramatha nath datta general surgeon,p n dutta,1
rajan madan,dheerain mandal,0
devajit choudhury,d dev,0
raman sharma,moonish sharma,0
pramatha nath datta,p n dutta,0
g v praveen kumar,praveenkumar s,0
arup kanti deb,d dev,0
subhajit malakar,subhojit nath,0
tamonas chaudhuri,nasrun chowdhury,0
santanu chaudhuri general surgeon,nasrun chowdhury,0
mansuri hamid ushmanbhai,hameed mansoori,0
sambit tripathy,sambit kar,0
rais ansari,mazavi ansari,0
aftab ansari,mazavi ansari,0
pradeep reddy v,pradeep m,0
prashant kumar,prashant meena,0
alind kishore,m s ain,0
kishore reddy juturu,k v subba,0
