name1,name2,is_match
Yashawini Sachar,Y.S.,1
Yashawini Sachar,Sachar Yashawini,1
Yashawini Sachar,xashawini Sachar,1
Yashawini Sachar,YashawiniSachar,1
Yashawini Sachar,Y45h4w1n1 54ch4r,1
Yashawini Sachar,Oviya Mall,0
Bhavya Toor,B.T.,1
Bhavya Toor,Bhahya Toor,1
Bhavya Toor,BhavyaToor,1
Bhavya Toor,Bh4vy4 T00r,1
Bhavya Toor,Amol Rastogi,0
Isaac Varghese,I.V.,1
Isaac Varghese,Varghese Isaac,1
Isaac Varghese,Isaac Varghdse,1
Isaac Varghese,IsaacVarghese,1
Isaac Varghese,1544c V4rgh353,1
Isaac Varghese,Wyatt Bava,0
Divya Pillay,D.P.,1
Divya Pillay,Pillay Divya,1
Divya Pillay,Divya Pilnay,1
Divya Pillay,DivyaPillay,1
Divya Pillay,D1vy4 P1ll4y,1
Divya Pillay,Onkar Lad,0
Lakshmi Nagarajan,L.N.,1
Lakshmi Nagarajan,Nagarajan Lakshmi,1
Lakshmi Nagarajan,cakshmi Nagarajan,1
Lakshmi Nagarajan,LakshmiNagarajan,1
Lakshmi Nagarajan,L4k5hm1 N4g4r4j4n,1
Lakshmi Nagarajan,Balvan Joshi,0
Falan Dalal,F.D.,1
Falan Dalal,Dalal Falan,1
Falan Dalal,Falqn Dalal,1
Falan Dalal,FalanDalal,1
Falan Dalal,F4l4n D4l4l,1
Falan Dalal,Panini Pant,0
Wakeeta Sibal,W.S.,1
Wakeeta Sibal,Sibal Wakeeta,1
Wakeeta Sibal,Wakeeta gibal,1
Wakeeta Sibal,WakeetaSibal,1
Wakeeta Sibal,W4k33t4 51b4l,1
Wakeeta Sibal,Ayush Naik,0
Dakshesh Yogi,D.Y.,1
Dakshesh Yogi,Dakohesh Yogi,1
Dakshesh Yogi,DaksheshYogi,1
Dakshesh Yogi,D4k5h35h Y0g1,1
Dakshesh Yogi,Jeet Sastry,0
Tarak Ganesh,T.G.,1
Tarak Ganesh,yarak Ganesh,1
Tarak Ganesh,TarakGanesh,1
Tarak Ganesh,T4r4k G4n35h,1
Tarak Ganesh,Jeremiah Walla,0
Hitesh Tank,H.T.,1
Hitesh Tank,Tank Hitesh,1
Hitesh Tank,HiteshkTank,1
Hitesh Tank,HiteshTank,1
Hitesh Tank,H1t35h T4nk,1
Hitesh Tank,Unni Bhatnagar,0
Jeet Raja,J.R.,1
Jeet Raja,Jegt Raja,1
Jeet Raja,JeetRaja,1
Jeet Raja,J33t R4j4,1
Jeet Raja,Hardik Wable,0
Anita Banerjee,A.B.,1
Anita Banerjee,Acita Banerjee,1
Anita Banerjee,AnitaBanerjee,1
Anita Banerjee,4n1t4 B4n3rj33,1
Anita Banerjee,Raghav Thaker,0
Ikbal Bir,I.B.,1
Ikbal Bir,Ilbal Bir,1
Ikbal Bir,IkbalBir,1
Ikbal Bir,1kb4l B1r,1
Ikbal Bir,Radhika Pant,0
Indali Chadha,I.C.,1
Indali Chadha,Indali Chidha,1
Indali Chadha,IndaliChadha,1
Indali Chadha,1nd4l1 Ch4dh4,1
Indali Chadha,Tanveer Chaudry,0
Ladli Sundaram,L.S.,1
Ladli Sundaram,Sundaram Ladli,1
Ladli Sundaram,Ladli Sundaoam,1
Ladli Sundaram,LadliSundaram,1
Ladli Sundaram,L4dl1 5und4r4m,1
Ladli Sundaram,Lakshit Peri,0
Harrison Rai,H.R.,1
Harrison Rai,Rai Harrison,1
Harrison Rai,Harriscn Rai,1
Harrison Rai,HarrisonRai,1
Harrison Rai,H4rr150n R41,1
Harrison Rai,Benjamin Kumer,0
Bhavika Andra,B.A.,1
Bhavika Andra,Bhavika Antra,1
Bhavika Andra,BhavikaAndra,1
Bhavika Andra,Bh4v1k4 4ndr4,1
Bhavika Andra,Zansi Shenoy,0
Pavani Bera,P.B.,1
Pavani Bera,Pavani Bega,1
Pavani Bera,PavaniBera,1
Pavani Bera,P4v4n1 B3r4,1
